Full Name,Date,Clock In,Clock Out,Duration
John Doe,05/04/2024,11:51:42 pm,11:52:07 pm,2 days
John Doe,08/04/2024,02:28:34 pm,02:41:02 pm,12 minutes
John Doe,08/04/2024,02:53:33 pm,02:58:59 pm,5 minutes
John Doe,08/04/2024,03:02:37 pm,03:02:39 pm,a few seconds
John Doe,08/04/2024,03:02:40 pm,03:02:41 pm,a few seconds
John Doe,08/04/2024,03:11:14 pm,03:11:16 pm,a few seconds
John Doe,08/04/2024,03:11:18 pm,03:11:19 pm,a few seconds
John Doe,08/04/2024,03:11:21 pm,03:11:22 pm,a few seconds
John Doe,08/04/2024,03:11:22 pm,03:11:22 pm,a few seconds
John Doe,08/04/2024,03:11:22 pm,03:11:22 pm,a few seconds
John Doe,08/04/2024,03:11:22 pm,03:11:23 pm,a few seconds
John Doe,08/04/2024,03:11:23 pm,03:11:23 pm,a few seconds
John Doe,08/04/2024,03:11:23 pm,Invalid date,NA
James Snow,08/04/2024,11:20:05 pm,11:20:06 pm,a few seconds
James Snow,08/04/2024,11:20:07 pm,11:20:07 pm,a few seconds
James Snow,08/04/2024,11:20:07 pm,11:20:09 pm,a few seconds
James Snow,08/04/2024,11:20:10 pm,11:20:12 pm,a few seconds
James Snow,08/04/2024,11:20:12 pm,11:20:14 pm,a few seconds
